chit_code,color_key,shape_key,color_sequence,shape_sequence,operation_order,vault_code,difficulty
BB101,RED=7|BLUE=3|GREEN=9|YELLOW=1,CIRCLE=2|TRIANGLE=5|SQUARE=8|DIAMOND=4,RED-BLUE-GREEN-YELLOW,CIRCLE-TRIANGLE-SQUARE-DIAMOND,COLOR-SHAPE,73912584,medium
BB102,RED=4|BLUE=8|GREEN=2|YELLOW=6,CIRCLE=7|TRIANGLE=3|SQUARE=9|DIAMOND=1,YELLOW-GREEN-BLUE-RED,DIAMOND-SQUARE-TRIANGLE-CIRCLE,COLOR-SHAPE,62841937,medium
BB103,RED=9|BLUE=1|GREEN=6|YELLOW=4,CIRCLE=3|TRIANGLE=8|SQUARE=2|DIAMOND=7,GREEN-RED-YELLOW-BLUE,SQUARE-CIRCLE-DIAMOND-TRIANGLE,COLOR-SHAPE,69412378,medium
BB104,RED=2|BLUE=6|GREEN=8|YELLOW=5,CIRCLE=9|TRIANGLE=4|SQUARE=1|DIAMOND=7,BLUE-YELLOW-RED-GREEN,TRIANGLE-DIAMOND-CIRCLE-SQUARE,COLOR-SHAPE,65284791,medium
BB105,RED=5|BLUE=2|GREEN=7|YELLOW=9,CIRCLE=6|TRIANGLE=1|SQUARE=4|DIAMOND=8,YELLOW-BLUE-GREEN-RED,CIRCLE-SQUARE-DIAMOND-TRIANGLE,COLOR-SHAPE,92756481,medium
BB106,RED=8|BLUE=5|GREEN=3|YELLOW=7,CIRCLE=1|TRIANGLE=9|SQUARE=6|DIAMOND=2,RED-GREEN-BLUE-YELLOW,DIAMOND-CIRCLE-SQUARE-TRIANGLE,COLOR-SHAPE,83572169,medium
BB107,RED=3|BLUE=9|GREEN=5|YELLOW=2,CIRCLE=8|TRIANGLE=6|SQUARE=3|DIAMOND=1,BLUE-RED-YELLOW-GREEN,TRIANGLE-SQUARE-CIRCLE-DIAMOND,COLOR-SHAPE,93256381,medium
BB108,RED=6|BLUE=4|GREEN=1|YELLOW=8,CIRCLE=5|TRIANGLE=2|SQUARE=7|DIAMOND=9,GREEN-YELLOW-BLUE-RED,SQUARE-DIAMOND-TRIANGLE-CIRCLE,COLOR-SHAPE,18467925,medium
BB109,RED=1|BLUE=7|GREEN=4|YELLOW=3,CIRCLE=9|TRIANGLE=5|SQUARE=2|DIAMOND=6,RED-YELLOW-GREEN-BLUE,CIRCLE-TRIANGLE-DIAMOND-SQUARE,COLOR-SHAPE,13479562,medium
BB110,RED=7|BLUE=2|GREEN=9|YELLOW=5,CIRCLE=4|TRIANGLE=8|SQUARE=1|DIAMOND=6,BLUE-GREEN-YELLOW-RED,DIAMOND-CIRCLE-SQUARE-TRIANGLE,COLOR-SHAPE,29576418,medium
BB111,RED=4|BLUE=6|GREEN=2|YELLOW=9,CIRCLE=3|TRIANGLE=7|SQUARE=5|DIAMOND=1,YELLOW-RED-BLUE-GREEN,SQUARE-TRIANGLE-DIAMOND-CIRCLE,COLOR-SHAPE,94625713,medium
BB112,RED=9|BLUE=3|GREEN=7|YELLOW=1,CIRCLE=8|TRIANGLE=2|SQUARE=6|DIAMOND=4,GREEN-BLUE-RED-YELLOW,TRIANGLE-CIRCLE-SQUARE-DIAMOND,COLOR-SHAPE,73912864,medium
BB113,RED=2|BLUE=8|GREEN=5|YELLOW=6,CIRCLE=1|TRIANGLE=4|SQUARE=9|DIAMOND=3,BLUE-YELLOW-GREEN-RED,DIAMOND-SQUARE-CIRCLE-TRIANGLE,COLOR-SHAPE,86523914,medium
BB114,RED=5|BLUE=1|GREEN=8|YELLOW=3,CIRCLE=7|TRIANGLE=6|SQUARE=2|DIAMOND=9,RED-GREEN-YELLOW-BLUE,CIRCLE-DIAMOND-TRIANGLE-SQUARE,COLOR-SHAPE,58317962,medium
BB115,RED=8|BLUE=4|GREEN=6|YELLOW=2,CIRCLE=5|TRIANGLE=3|SQUARE=1|DIAMOND=7,YELLOW-BLUE-RED-GREEN,SQUARE-CIRCLE-DIAMOND-TRIANGLE,COLOR-SHAPE,24861573,medium
BB116,RED=3|BLUE=7|GREEN=1|YELLOW=9,CIRCLE=2|TRIANGLE=8|SQUARE=4|DIAMOND=6,BLUE-GREEN-RED-YELLOW,TRIANGLE-DIAMOND-SQUARE-CIRCLE,COLOR-SHAPE,71398642,medium
BB117,RED=6|BLUE=9|GREEN=4|YELLOW=5,CIRCLE=8|TRIANGLE=1|SQUARE=7|DIAMOND=3,RED-YELLOW-BLUE-GREEN,CIRCLE-SQUARE-TRIANGLE-DIAMOND,COLOR-SHAPE,65948713,medium
BB118,RED=1|BLUE=5|GREEN=9|YELLOW=4,CIRCLE=6|TRIANGLE=2|SQUARE=8|DIAMOND=3,GREEN-RED-BLUE-YELLOW,DIAMOND-TRIANGLE-CIRCLE-SQUARE,COLOR-SHAPE,91543268,medium
BB119,RED=7|BLUE=3|GREEN=6|YELLOW=8,CIRCLE=4|TRIANGLE=9|SQUARE=2|DIAMOND=5,YELLOW-GREEN-RED-BLUE,SQUARE-DIAMOND-CIRCLE-TRIANGLE,COLOR-SHAPE,86732549,medium
BB120,RED=4|BLUE=9|GREEN=1|YELLOW=7,CIRCLE=3|TRIANGLE=5|SQUARE=8|DIAMOND=2,RED-BLUE-YELLOW-GREEN,TRIANGLE-CIRCLE-DIAMOND-SQUARE,COLOR-SHAPE,49715328,medium
BB121,RED=8|BLUE=2|GREEN=5|YELLOW=3,CIRCLE=7|TRIANGLE=4|SQUARE=1|DIAMOND=9,BLUE-YELLOW-RED-GREEN,CIRCLE-SQUARE-TRIANGLE-DIAMOND,COLOR-SHAPE,23857149,medium
BB122,RED=3|BLUE=6|GREEN=9|YELLOW=2,CIRCLE=5|TRIANGLE=8|SQUARE=4|DIAMOND=1,GREEN-BLUE-YELLOW-RED,DIAMOND-CIRCLE-SQUARE-TRIANGLE,COLOR-SHAPE,96231548,medium
BB123,RED=6|BLUE=1|GREEN=4|YELLOW=8,CIRCLE=9|TRIANGLE=2|SQUARE=7|DIAMOND=5,YELLOW-RED-GREEN-BLUE,TRIANGLE-SQUARE-DIAMOND-CIRCLE,COLOR-SHAPE,86412759,medium
BB124,RED=9|BLUE=5|GREEN=2|YELLOW=6,CIRCLE=1|TRIANGLE=7|SQUARE=3|DIAMOND=8,BLUE-GREEN-RED-YELLOW,CIRCLE-DIAMOND-SQUARE-TRIANGLE,COLOR-SHAPE,52961837,medium
BB125,RED=2|BLUE=7|GREEN=8|YELLOW=4,CIRCLE=6|TRIANGLE=3|SQUARE=9|DIAMOND=1,RED-YELLOW-BLUE-GREEN,SQUARE-TRIANGLE-CIRCLE-DIAMOND,COLOR-SHAPE,24789361,medium
BB126,RED=5|BLUE=3|GREEN=1|YELLOW=9,CIRCLE=8|TRIANGLE=6|SQUARE=2|DIAMOND=4,GREEN-YELLOW-BLUE-RED,DIAMOND-SQUARE-CIRCLE-TRIANGLE,COLOR-SHAPE,19354286,medium
BB127,RED=7|BLUE=8|GREEN=4|YELLOW=2,CIRCLE=3|TRIANGLE=9|SQUARE=5|DIAMOND=1,BLUE-RED-GREEN-YELLOW,TRIANGLE-CIRCLE-SQUARE-DIAMOND,COLOR-SHAPE,87429351,medium
BB128,RED=1|BLUE=4|GREEN=7|YELLOW=6,CIRCLE=9|TRIANGLE=2|SQUARE=8|DIAMOND=5,YELLOW-GREEN-BLUE-RED,CIRCLE-DIAMOND-TRIANGLE-SQUARE,COLOR-SHAPE,67419528,medium
BB129,RED=8|BLUE=6|GREEN=3|YELLOW=5,CIRCLE=4|TRIANGLE=1|SQUARE=7|DIAMOND=9,RED-GREEN-YELLOW-BLUE,SQUARE-CIRCLE-DIAMOND-TRIANGLE,COLOR-SHAPE,83567491,medium
BB130,RED=4|BLUE=2|GREEN=8|YELLOW=7,CIRCLE=6|TRIANGLE=5|SQUARE=1|DIAMOND=9,GREEN-RED-BLUE-YELLOW,DIAMOND-TRIANGLE-SQUARE-CIRCLE,COLOR-SHAPE,84279516,medium
